Summary,Issue Type,Description,Priority,Labels,Epic Name,Epic Link,Story Points,Sprint
"E02-H03 Framework de conectores",Story,"Contrato comun de conectores con retries y telemetria.",Medium,"fase2,integraciones,plataforma",,"EPIC-02 Integraciones MDM/Cloud",5,"Fase2-Sprint4"
"E03-H01 Inventario software",Story,"Captura software instalado por endpoint y versionado.",Medium,"fase2,licencias",,"EPIC-03 Software y licencias",5,"Fase2-Sprint5"
"E03-H02 Catalogo licencias",Story,"Modelo de contratos/licencias con asignacion y expiracion.",Medium,"fase2,licencias",,"EPIC-03 Software y licencias",5,"Fase2-Sprint5"
"E03-H03 Reporte compliance",Story,"Reporte compliant/non-compliant exportable.",Medium,"fase2,licencias,reporting",,"EPIC-03 Software y licencias",3,"Fase2-Sprint6"
"E04-H01 Estados lifecycle",Story,"Transiciones de estado con reglas y auditoria de cambios.",Medium,"fase2,lifecycle",,"EPIC-04 Lifecycle automation",5,"Fase2-Sprint5"
"E04-H02 Renovaciones y garantias",Story,"Alertas de vencimientos de contratos y warranties.",Medium,"fase2,lifecycle",,"EPIC-04 Lifecycle automation",3,"Fase2-Sprint6"
"E04-H03 Onboarding/offboarding",Story,"Checklists operativos para asignacion y devolucion de activos.",Medium,"fase2,lifecycle,workflow",,"EPIC-04 Lifecycle automation",3,"Fase2-Sprint6"
"E05-H01 Bitacora inmutable",Story,"Registro append-only para eventos criticos con filtros de auditoria.",Medium,"fase2,governance,security",,"EPIC-05 Auditoria y governance",5,"Fase2-Sprint6"
"E05-H02 Normalizacion de datos",Story,"Reglas de normalizacion y score de calidad por activo.",Medium,"fase2,governance,data-quality",,"EPIC-05 Auditoria y governance",5,"Fase2-Sprint7"
"E05-H03 Politicas por tenant",Story,"Campos obligatorios y validaciones configurables por tenant.",Medium,"fase2,governance,saas",,"EPIC-05 Auditoria y governance",3,"Fase2-Sprint7"
"E06-H01 Dashboard ejecutivo",Story,"KPI de cobertura, riesgo y cumplimiento por rol.",Medium,"fase2,analytics",,"EPIC-06 Dashboards avanzados",5,"Fase2-Sprint7"
"E06-H02 Busqueda avanzada",Story,"Filtros compuestos, vistas guardadas y performance p95.",Medium,"fase2,analytics,search",,"EPIC-06 Dashboards avanzados",5,"Fase2-Sprint8"
"E06-H03 Reportes programados",Story,"Envio periodico de reportes con trazabilidad de entrega.",Medium,"fase2,analytics,reporting",,"EPIC-06 Dashboards avanzados",3,"Fase2-Sprint8"
"S1-BE-01 tenantId entidades",Task,"Agregar tenantId obligatorio en assets/users/logs/discoveredAssets.",Highest,"fase2,sprint1,backend",,"EPIC-07 SaaS multi-tenant",3,"Fase2-Sprint1"
"S1-BE-02 middleware tenant",Task,"Contexto tenant en API con validacion y logging.",Highest,"fase2,sprint1,backend",,"EPIC-07 SaaS multi-tenant",2,"Fase2-Sprint1"
"S1-BE-03 RBAC enforcement",Task,"Aplicar permisos por rol en endpoints principales.",Highest,"fase2,sprint1,backend,security",,"EPIC-07 SaaS multi-tenant",3,"Fase2-Sprint1"
"S1-FE-01 contexto tenant",Task,"Estado global de tenant y propagacion en requests.",High,"fase2,sprint1,frontend",,"EPIC-07 SaaS multi-tenant",2,"Fase2-Sprint1"
"S1-FE-02 vista detectados",Task,"Construir tabla de discovered assets con filtros.",High,"fase2,sprint1,frontend",,"EPIC-01 Discovery sin agente",3,"Fase2-Sprint1"
"S1-QA-01 pruebas aislamiento",Task,"Casos E2E y negativos de acceso cross-tenant.",High,"fase2,sprint1,qa",,"EPIC-07 SaaS multi-tenant",2,"Fase2-Sprint1"
"S1-DO-01 observabilidad base",Task,"requestId + tenantId en logs y dashboard inicial de errores.",High,"fase2,sprint1,devops",,"EPIC-07 SaaS multi-tenant",2,"Fase2-Sprint1"
